ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
1.2.10,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
1.2.10,true,base,labels,object,core,,"{""application"": ""foo-bar"", ""env"": ""production""}",Custom key/value pairs.
1.2.10,true,base,message,match_only_text,core,,Hello World,Log message optimized for viewing in a log viewer.
1.2.10,true,base,tags,keyword,core,array,"[""production"", ""env2""]",List of keywords used to tag each event.
1.2.10,true,agent,agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.
1.2.10,true,agent,agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.
1.2.10,true,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
1.2.10,true,agent,agent.name,keyword,core,,foo,Custom name of the agent.
1.2.10,true,agent,agent.type,keyword,core,,filebeat,Type of the agent.
1.2.10,true,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
1.2.10,true,auto1,auto1.activity.id,keyword,custom,,Activity_06o4fj9,The activity related to the log entry.
1.2.10,true,auto1,auto1.api.route.controller,keyword,custom,,RetailDeliveryOptionsController::getOptions,The name of the api controller / handler that was called.
1.2.10,true,auto1,auto1.api.route.handler,keyword,custom,,/v1/eta-calculation/estimations/{stockNumber}/current,The identifier of called api.
1.2.10,true,auto1,auto1.api.route.name,keyword,custom,,delivery_options_for_retail,The name of called api.
1.2.10,true,auto1,auto1.api.route.parameters,flattened,custom,,{'stockNumber': 'ABC123'},A map of route related parameters used to further debug the api call.
1.2.10,true,auto1,auto1.auction.id,keyword,custom,,123456,The id of auto1 auction.
1.2.10,true,auto1,auto1.aurs.alert.type,keyword,custom,,AURS_MESSAGING_LISTENER_ERROR,AURS Module Alert Type.
1.2.10,true,auto1,auto1.aurs.messaging.listener.module,keyword,custom,,INBOUND_PAYMENTS,AURS listener module name.
1.2.10,true,auto1,auto1.aurs.messaging.message.id,keyword,custom,,43e33019-91cf-462f-af0a-efd20d02245f,AURS Message Id.
1.2.10,true,auto1,auto1.build.number,keyword,custom,,"36 , v1.2.0",The service/application build number.
1.2.10,true,auto1,auto1.business.process,keyword,custom,,publish-ad,The name of business process that the log entry is related to.
1.2.10,true,auto1,auto1.car.id,keyword,custom,,123456,The id of auto1 car.
1.2.10,true,auto1,auto1.car.vin,keyword,custom,,YV1XZEYR0S2460362,Field to contain generic vin parameter.
1.2.10,true,auto1,auto1.classifieds.ad.id,keyword,custom,,123456,The id of auto1 classifieds ad.
1.2.10,true,auto1,auto1.config.transitional.silentJSONParsing,boolean,custom,,True,Flag that shows whether an silentJSONParsing occurred or not.
1.2.10,true,auto1,auto1.conversation.number,keyword,custom,,WK00007842,Call center conversation number in logs. See https://wkdauto.atlassian.net/browse/CC-2127
